mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.37185509204864503,0.0010038697669680892,0.003763914108276367,5.8276446064343105e-05,1.0,0.5,0.015,4,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10870985688956036,0.09004512139924614,0.04206634828449107,0.11144468473439328,0.16650910396205032,0.09102630083197227,0.014849355072235282,0.16314653502026022,0.07471655325870652,0.03854306347836467,0.09010569229312801,0.047792875937517805,1,0.19970492983644017,0.19779712299084173,0.19910555824394383,0.19658025994034145,0.19123182336679867,0.19216931785036773,0.20196450591124082,0.18384214321397085,0.1936811620672343,0.20521497364054386,0.19612917970617233,0.005812586953012167
0.36966125965118407,0.001277780756379336,0.0037493467330932616,7.817784472451551e-05,1.0,3,0.015,4,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 3, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10870985688956036,0.09004512139924614,0.04206634828449107,0.11144468473439328,0.16650910396205032,0.09102630083197227,0.014849355072235282,0.16314653502026022,0.07471655325870652,0.03854306347836467,0.09010569229312801,0.047792875937517805,1,0.19970492983644017,0.19779712299084173,0.19910555824394383,0.19658025994034145,0.19123182336679867,0.19216931785036773,0.20196450591124082,0.18384214321397085,0.1936811620672343,0.20521497364054386,0.19612917970617233,0.005812586953012167
0.37112131118774416,0.0017688294410822774,0.003992533683776856,0.00030160919841063053,1.0,1.5,0.015,4,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10870985688956036,0.09004512139924614,0.04206634828449107,0.11144468473439328,0.16650910396205032,0.09102630083197227,0.014849355072235282,0.16314653502026022,0.07471655325870652,0.03854306347836467,0.09010569229312801,0.047792875937517805,1,0.19970492983644017,0.19779712299084173,0.19910555824394383,0.19658025994034145,0.19123182336679867,0.19216931785036773,0.20196450591124082,0.18384214321397085,0.1936811620672343,0.20521497364054386,0.19612917970617233,0.005812586953012167
0.31601858139038086,0.0011874905292097071,0.0037655353546142576,0.00010511689942602128,0.8,3,0.015,4,10,0.5,"{'colsample_bytree': 0.8, 'gamma': 3, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10360491336346678,0.08025512367084608,0.03812920865392844,0.11718531180290293,0.16867186722332805,0.08640091148756468,0.017139512512792665,0.1716164714889835,0.07360921397345044,0.04375362247041781,0.09003661566476814,0.049284037511962496,4,0.19362752014538487,0.18979764141339905,0.19126663505949848,0.18931639056821115,0.18461939466212063,0.18849217424140763,0.1960687434700441,0.17890530260680038,0.1909656954619512,0.19818130027614222,0.190124079790496,0.005235744755940958
0.3185597896575928,0.001370737617664486,0.003909587860107422,0.00010456083204484238,0.8,0.5,0.015,4,10,0.5,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10360491336346678,0.08025512367084608,0.03812920865392844,0.11718531180290293,0.16867186722332805,0.08640091148756468,0.017139512512792665,0.1716164714889835,0.07360921397345044,0.04375362247041781,0.09003661566476814,0.049284037511962496,4,0.19362752014538487,0.18979764141339905,0.19126663505949848,0.18931639056821115,0.18461939466212063,0.18849217424140763,0.1960687434700441,0.17890530260680038,0.1909656954619512,0.19818130027614222,0.190124079790496,0.005235744755940958
0.31577024459838865,0.001397979918963542,0.0037847518920898437,0.00016615668400002265,0.8,1.5,0.015,4,10,0.5,"{'colsample_bytree': 0.8, 'gamma': 1.5, 'learning_rate': 0.015, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.5}",0.10360491336346678,0.08025512367084608,0.03812920865392844,0.11718531180290293,0.16867186722332805,0.08640091148756468,0.017139512512792665,0.1716164714889835,0.07360921397345044,0.04375362247041781,0.09003661566476814,0.049284037511962496,4,0.19362752014538487,0.18979764141339905,0.19126663505949848,0.18931639056821115,0.18461939466212063,0.18849217424140763,0.1960687434700441,0.17890530260680038,0.1909656954619512,0.19818130027614222,0.190124079790496,0.005235744755940958
0.46138274669647217,0.0012658100837057457,0.003968238830566406,0.0001168471432352062,1.0,3,0.015,5,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 3, 'learning_rate': 0.015, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5}",0.10685532843129675,0.08527351928436566,0.035492080019221106,0.11583806138577257,0.1632468270998474,0.0935937923179132,0.016345595201823437,0.16278571086650206,0.07132593433499257,0.03739925238319086,0.08881561013249256,0.04811178247991726,7,0.2465484047028047,0.24012937474475915,0.24060094946800992,0.23809099515477505,0.23771584841818283,0.2341990138457667,0.24486220820413795,0.22492031455368666,0.23556964677634507,0.24720829345312512,0.23898450493215928,0.006309403887797829
0.4631469964981079,0.004604996189128372,0.003992295265197754,9.234505584313124e-05,1.0,0.5,0.015,5,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 0.5, 'learning_rate': 0.015, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5}",0.10685532843129675,0.08527351928436566,0.035492080019221106,0.11583806138577257,0.1632468270998474,0.0935937923179132,0.016345595201823437,0.16278571086650206,0.07132593433499257,0.03739925238319086,0.08881561013249256,0.04811178247991726,7,0.2465484047028047,0.24012937474475915,0.24060094946800992,0.23809099515477505,0.23771584841818283,0.2341990138457667,0.24486220820413795,0.22492031455368666,0.23556964677634507,0.24720829345312512,0.23898450493215928,0.006309403887797829
0.4662806987762451,0.0020836363592349784,0.0040759086608886715,0.00011594710998573706,1.0,1.5,0.015,5,10,0.5,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'learning_rate': 0.015, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5}",0.10685532843129675,0.08527351928436566,0.035492080019221106,0.11583806138577257,0.1632468270998474,0.0935937923179132,0.016345595201823437,0.16278571086650206,0.07132593433499257,0.03739925238319086,0.08881561013249256,0.04811178247991726,7,0.2465484047028047,0.24012937474475915,0.24060094946800992,0.23809099515477505,0.23771584841818283,0.2341990138457667,0.24486220820413795,0.22492031455368666,0.23556964677634507,0.24720829345312512,0.23898450493215928,0.006309403887797829
0.3929742813110352,0.002045439681714019,0.004019021987915039,0.00012925625295980646,0.8,1.5,0.015,5,10,0.5,"{'colsample_bytree': 0.8, 'gamma': 1.5, 'learning_rate': 0.015, 'max_depth': 5, 'min_child_weight': 10, 'subsample': 0.5}",0.09993188864500879,0.07538064354399476,0.03887302517466962,0.11548722219876151,0.17348953809935497,0.08343815145232658,0.013927846452379211,0.17008300703972556,0.0699799975897818,0.04271175287260576,0.08833030730686085,0.05039727721984474,10,0.23711447157187981,0.22916213165857258,0.23424398184597905,0.22734095500792295,0.22676408631287337,0.22846911581708063,0.23625691688082884,0.21858863951312235,0.23483544329530526,0.23918340784883507,0.23119591497523997,0.005932932642216556
